file,size_kb,status
chapter-01.md,28.0,todo
chapter-02.md,29.7,todo
chapter-03.md,22.4,todo
chapter-04.md,28.5,todo
chapter-05.md,25.0,todo
chapter-06.md,18.7,todo
chapter-07.md,26.5,todo
chapter-08.md,27.3,todo
chapter-09.md,23.9,todo
chapter-10.md,28.4,todo
chapter-11.md,25.3,todo
chapter-12.md,33.1,todo
chapter-13.md,31.7,todo
chapter-14.md,33.4,todo
chapter-15.md,33.6,todo
chapter-16.md,25.5,todo
chapter-17.md,34.0,todo
chapter-18.md,30.5,todo
chapter-19.md,24.9,todo
chapter-20.md,27.9,todo
chapter-21.md,49.2,todo
chapter-22.md,37.5,todo
chapter-23.md,34.3,todo
chapter-24.md,52.0,todo
