file,size_kb,status
felix-2.md,2.9,done
carston-and-clarence.md,27.8,done
carston.md,1.3,done
clarence-and-scylla.md,6.2,done
clarence.md,7.9,done
dedication.md,0.0,done
epigraph.md,0.0,done
felix.md,9.1,done
i.md,6.6,done
ii.md,6.7,done
iii.md,11.7,done
in-and-out.md,16.9,done
iv.md,6.2,done
ix.md,10.3,done
lydia.md,1.5,done
mr-tracy.md,4.1,done
picus.md,4.5,done
ross.md,1.4,done
scylla.md,15.3,done
v.md,9.5,done
vi.md,11.1,done
vii.md,9.7,done
viii.md,7.8,done
when-we-were-very-young.md,2.3,done
x.md,7.5,done
xi.md,7.2,done
xii.md,9.0,done
xiii.md,6.7,done
xiv.md,2.4,done
xix.md,4.9,done
xv.md,12.8,done
xvi.md,10.6,done
xvii.md,8.6,done
xviii.md,8.4,done
xx.md,5.7,done
