file,size_kb,status
foreword.md,3.2,done
i.md,14.1,done
ii.md,10.8,done
iii.md,9.0,done
introduction.md,5.4,done
iv.md,5.0,done
ix.md,4.2,done
list-of-illustrations.md,0.3,done
males-marked-by-an-asterisk.md,3.9,done
notes-on-the-eskimos.md,6.4,done
v.md,6.0,done
vi.md,6.3,done
vii.md,10.2,done
viii.md,7.4,done
x.md,2.8,done
xi.md,15.3,done
xii.md,10.2,done
xiii.md,12.8,done
xiv.md,11.0,done
xix.md,8.6,done
xv.md,13.8,done
xvi.md,5.0,done
xvii.md,7.8,done
xviii.md,8.4,done
xx.md,10.2,done
xxi.md,9.0,done
