file,size_kb,status
book-1.md,0.0,todo
chapter-1-1.md,37.7,todo
chapter-1-2.md,18.9,todo
chapter-1-3.md,20.2,todo
chapter-1-4.md,15.8,todo
chapter-1-5.md,24.8,todo
chapter-1-6.md,28.9,todo
chapter-1-7.md,32.5,todo
chapter-1-8.md,44.4,todo
chapter-1-9.md,36.6,todo
book-2.md,0.0,todo
chapter-2-1.md,21.5,todo
chapter-2-2.md,42.1,todo
chapter-2-3.md,39.2,todo
chapter-2-4.md,33.1,todo
chapter-2-5.md,15.5,todo
chapter-2-6.md,27.2,todo
chapter-2-7.md,15.2,todo
chapter-2-8.md,21.2,todo
chapter-2-9.md,63.8,todo
chapter-2-10.md,13.7,todo
