file,size_kb,status
a-famous-victory.md,21.5,done
a-scrub-game.md,27.1,done
a-strange-message-from-home.md,9.9,done
a-turn-of-the-tide.md,8.4,done
after-the-battle.md,7.0,done
after-the-victory.md,8.3,done
an-interesting-episode.md,12.6,done
great-expectations.md,8.6,done
hope-and-suspense.md,12.5,done
how-the-good-news-came.md,19.8,done
in-a-new-field.md,31.3,done
in-the-field.md,22.4,done
introduction.md,1.6,done
list-of-illustrations.md,0.1,done
mike-costigan-s-discovery.md,7.5,done
notes-of-preparation.md,10.3,done
pride-has-a-fall.md,30.0,done
reorganization-begins.md,13.5,done
the-conspiracy-laid-open.md,8.5,done
