file,size_kb,status
chapter-1.md,16.5,done
chapter-2.md,13.0,done
chapter-3.md,17.0,done
chapter-4.md,17.8,done
chapter-5.md,7.5,done
chapter-6.md,19.4,done
chapter-7.md,18.8,done
chapter-8.md,18.7,done
chapter-9.md,14.2,done
chapter-10.md,16.3,done
chapter-11.md,16.8,done
chapter-12.md,28.8,done
chapter-13.md,13.7,done
chapter-14.md,10.3,done
chapter-15.md,12.4,done
chapter-16.md,22.4,done
chapter-17.md,15.6,done
chapter-18.md,11.3,done
chapter-19.md,17.4,done
chapter-20.md,16.1,done
chapter-21.md,23.8,done
dedication.md,0.1,done
introduction.md,1.3,done
