file,size_kb,status
00-dedication.md,0.1,done
01-jimmy-makes-a-bet.md,15.5,done
02-the-new-pyramus-and-thisbe.md,11.2,done
03-mr-mceachern.md,9.5,done
04-molly.md,7.4,done
05-a-thief-in-the-night.md,10.4,done
06-an-exhibition-performance.md,11.5,done
07-getting-acquainted.md,12.1,done
08-at-dreever.md,9.2,done
09-a-new-friend-and-an-old-one.md,14.8,done
10-jimmy-adopts-a-lame-dog.md,9.0,done
11-at-the-turn-of-the-road.md,17.7,done
12-making-a-start.md,16.2,done
13-spike-s-views.md,10.7,done
14-check-and-a-countermove.md,15.9,done
15-mr-mceachern-intervenes.md,13.1,done
16-a-marriage-has-been-arranged.md,17.4,done
17-jimmy-remembers-something-and-hears-something-else.md,14.8,done
18-the-lochinvar-method.md,12.3,done
19-on-the-lake.md,13.1,done
20-a-lesson-in-piquet.md,13.7,done
21-loathsome-gifts.md,6.2,done
22-how-two-of-a-trade-did-not-agree.md,13.1,done
23-family-jars.md,19.6,done
24-the-treasure-seeker.md,14.9,done
25-explanations-and-an-interruption.md,13.8,done
26-stirring-times-for-sir-thomas.md,10.3,done
27-a-declaration-of-independence.md,17.7,done
28-spennie-s-hour-of-clear-vision.md,10.0,done
29-the-last-round.md,16.6,done
30-conclusion.md,4.6,done
