file,size_kb,status
a-mixed-threesome.md,33.0,todo
a-woman-is-only-a-woman.md,36.7,todo
archibald-s-benefit.md,32.7,todo
chester-forgets-himself.md,47.1,todo
high-stakes.md,40.6,todo
jane-gets-off-the-fairway.md,44.6,todo
keeping-in-with-vosper.md,36.1,todo
ordeal-by-golf.md,38.0,todo
rodney-fails-to-qualify.md,42.6,todo
sundered-hearts.md,34.1,todo
the-awakening-of-rollo-podmarsh.md,33.5,todo
the-clicking-of-cuthbert.md,30.1,todo
the-coming-of-gowf.md,34.0,todo
the-heart-of-a-goof.md,44.2,todo
the-heel-of-achilles.md,28.1,todo
the-long-hole.md,32.0,todo
the-magic-plus-fours.md,38.0,todo
the-purification-of-rodney-spelvin.md,40.0,todo
the-rough-stuff.md,39.0,todo
the-salvation-of-george-mackintosh.md,30.7,todo
those-in-peril-on-the-tee.md,35.0,todo
