file,size_kb,status
a-disturbed-night-for-dear-old-squiffy.md,17.7,done
a-letter-from-parker.md,16.4,done
a-shock-for-mr-brewster.md,7.8,done
a-tale-of-a-grandfather.md,15.2,done
archie-accepts-a-situation.md,12.7,done
bright-eyes-and-a-fly.md,18.1,done
brother-bill-s-romance.md,9.1,done
dedication-to-b-w-king-hall.md,0.7,done
distressing-scene-in-a-hotel.md,5.1,done
doing-father-a-bit-of-good.md,20.2,done
mother-s-knee.md,18.1,done
mr-brewster-delivers-sentence.md,9.4,done
mr-roscoe-sherriff-has-an-idea.md,17.1,done
rallying-round-percy.md,21.7,done
reggie-comes-to-life.md,29.3,done
salvatore-chooses-the-wrong-moment.md,10.9,done
strange-experience-of-an-artist-s-model.md,14.4,done
summer-storms.md,22.7,done
the-bomb.md,18.6,done
the-growing-boy.md,22.2,done
the-melting-of-mr-connolly.md,16.8,done
the-sad-case-of-looney-biddle.md,18.5,done
the-sausage-chappie-clicks.md,14.5,done
the-sausage-chappie.md,14.9,done
the-wigmore-venus.md,18.9,done
washy-steps-into-the-hall-of-fame.md,17.7,done
work-wanted.md,5.8,done
