file,size_kb,status
01-dark-plottings-at-blandings-castle.md,47.2,todo
02-enter-psmith.md,32.0,todo
03-eve-borrows-an-umbrella.md,10.3,todo
04-painful-scene-at-the-drones-club.md,6.1,todo
05-psmith-applies-for-employment.md,14.0,todo
06-lord-emsworth-meets-a-poet.md,51.3,todo
07-baxter-suspects.md,35.9,todo
08-confidences-on-the-lake.md,50.5,todo
09-psmith-engages-a-valet.md,61.1,todo
10-sensational-occurrence-at-a-poetry-reading.md,53.6,todo
11-almost-entirely-about-flowerpots.md,48.7,todo
12-more-on-the-flowerpot-theme.md,19.0,todo
13-psmith-receives-guests.md,48.3,todo
14-psmith-accepts-employment.md,22.4,todo
