file,size_kb,status
chapter-1.md,50.3,todo
chapter-2.md,25.5,todo
chapter-3.md,22.5,todo
chapter-4.md,6.3,todo
chapter-5.md,16.0,todo
chapter-6.md,29.3,todo
chapter-7.md,17.6,todo
chapter-8.md,30.6,todo
chapter-9.md,20.7,todo
chapter-10.md,7.1,todo
chapter-11.md,16.6,todo
chapter-12.md,15.1,todo
chapter-13.md,14.3,todo
chapter-14.md,9.0,todo
chapter-15.md,14.5,todo
chapter-16.md,11.7,todo
chapter-17.md,32.8,todo
chapter-18.md,33.5,todo
chapter-19.md,14.6,todo
chapter-20.md,4.4,todo
chapter-21.md,11.6,todo
chapter-22.md,10.4,todo
chapter-23.md,20.9,todo
chapter-24.md,8.7,todo
chapter-25.md,6.5,todo
chapter-26.md,7.0,todo
