file,size_kb,status
00-dedication.md,0.0,done
00-preface.md,0.1,done
01-mr-bickersdyke-walks-behind-the-bowler-s-arm.md,13.5,done
02-mike-hears-bad-news.md,7.1,done
03-the-new-era-begins.md,9.6,done
04-first-steps-in-a-business-career.md,10.5,done
05-the-other-man.md,8.1,done
06-psmith-explains.md,10.2,done
07-going-into-winter-quarters.md,10.8,done
08-the-friendly-native.md,12.0,done
09-the-haunting-of-mr-bickersdyke.md,9.1,done
10-mr-bickersdyke-addresses-his-constituents.md,11.3,done
11-misunderstood.md,9.7,done
12-in-a-nutshell.md,11.0,done
13-mike-is-moved-on.md,7.0,done
14-mr-waller-appears-in-a-new-light.md,10.8,done
15-stirring-times-on-the-common.md,12.3,done
16-further-developments.md,9.6,done
17-sunday-supper.md,11.7,done
18-psmith-makes-a-discovery.md,9.7,done
19-the-illness-of-edward.md,9.9,done
20-concerning-a-cheque.md,7.4,done
21-psmith-makes-inquiries.md,11.0,done
22-and-takes-steps.md,5.6,done
23-mr-bickersdyke-makes-a-concession.md,13.8,done
24-the-spirit-of-unrest.md,8.3,done
25-at-the-telephone.md,7.1,done
26-breaking-the-news.md,8.0,done
27-at-lord-s.md,12.2,done
28-psmith-arranges-his-future.md,8.2,done
29-and-mike-s.md,11.3,done
30-the-last-sad-farewells.md,7.3,done
