file,size_kb,status
chapter-1.md,11.4,done
chapter-2.md,10.9,done
chapter-3.md,11.1,done
chapter-4.md,13.4,done
chapter-5.md,11.3,done
chapter-6.md,10.5,done
chapter-7.md,8.4,done
chapter-8.md,11.5,done
chapter-9.md,11.9,done
chapter-10.md,9.8,done
chapter-11.md,10.2,done
chapter-12.md,10.0,done
chapter-13.md,10.2,done
chapter-14.md,7.2,done
chapter-15.md,11.1,done
chapter-16.md,10.4,done
chapter-17.md,9.9,done
chapter-18.md,8.9,done
chapter-19.md,7.6,done
chapter-20.md,10.2,done
chapter-21.md,11.1,done
chapter-22.md,10.1,done
chapter-23.md,9.6,done
chapter-24.md,10.7,done
