file,size_kb,status
dedication.md,0.0,todo
i.md,12.2,todo
ii.md,3.7,todo
iii.md,7.5,todo
iv.md,7.8,todo
ix.md,9.5,todo
v.md,13.8,todo
vi.md,18.1,todo
vii.md,7.8,todo
viii.md,7.4,todo
x.md,19.9,todo
xi.md,25.6,todo
xii.md,27.7,todo
xiii.md,6.4,todo
xiv.md,15.0,todo
xix.md,11.9,todo
xv.md,17.7,todo
xvi.md,22.6,todo
xvii.md,17.1,todo
xviii.md,13.8,todo
xx.md,14.3,todo
xxi.md,14.0,todo
xxii.md,33.5,todo
xxiii.md,20.2,todo
xxiv.md,20.2,todo
xxv.md,12.9,todo
xxvi.md,18.4,todo
xxvii.md,8.2,todo
