file,size_kb,status
01-the-genius-of-crime.md,20.7,todo
02-a-tragic-dawn.md,27.2,todo
03-the-hunt-for-the-man.md,15.5,todo
04-no-i-am-not-mad.md,20.7,todo
05-arrest-me.md,12.4,todo
06-fantomas-it-is-death.md,32.0,todo
07-the-criminal-investigation-department.md,25.7,todo
08-a-dreadful-confession.md,19.5,todo
09-all-for-honour.md,23.4,todo
10-princess-sonia-s-bath.md,26.3,todo
11-magistrate-and-detective.md,14.7,todo
12-a-knockout-blow.md,15.7,todo
13-therese-s-future.md,13.2,todo
14-mademoiselle-jeanne.md,11.3,todo
15-the-mad-woman-s-plot.md,18.1,todo
16-among-the-market-porters.md,14.0,todo
17-at-the-saint-anthony-s-pig.md,19.7,todo
18-a-prisoner-and-a-witness.md,18.4,todo
19-jerome-fandor.md,11.4,todo
20-a-cup-of-tea.md,11.5,todo
21-lord-beltham-s-murderer.md,16.5,todo
22-the-scrap-of-paper.md,8.6,todo
23-the-wreck-of-the-lancaster.md,10.1,todo
24-under-lock-and-key.md,12.7,todo
25-an-unexpected-accomplice.md,9.8,todo
26-a-mysterious-crime.md,17.4,todo
27-three-surprising-incidents.md,18.8,todo
28-the-court-of-assize.md,15.1,todo
29-verdict-and-sentence.md,20.1,todo
30-an-assignation.md,20.1,todo
31-fell-treachery.md,23.3,todo
32-on-the-scaffold.md,18.9,todo
