file,size_kb,status
a-chapter-of-surprises.md,29.1,todo
a-conference-with-dr-thorndyke.md,13.8,todo
a-dramatic-discovery.md,17.7,todo
a-narrow-escape.md,23.6,todo
a-strange-misadventure.md,21.9,todo
a-surprise-for-the-superintendent.md,26.8,todo
arms-and-the-man.md,14.6,todo
enlarging-thorndyke-s-knowledge.md,21.3,todo
inspector-follett-s-discovery.md,20.7,todo
marion-d-arblay-at-home.md,23.2,todo
marion-s-peril.md,27.8,todo
mr-bendelow.md,16.6,todo
simon-bendelow-deceased.md,18.6,todo
the-doctor-s-revelations.md,28.8,todo
the-haunted-man.md,26.6,todo
the-last-act.md,29.3,todo
the-pool-in-the-wood.md,26.5,todo
thorndyke-disentangles-the-threads.md,38.2,todo
thorndyke-proposes-a-new-move.md,24.0,todo
