file,size_kb,status
01-the-vanishing-man.md,11.8,todo
02-the-eavesdropper.md,22.3,todo
03-john-thorndyke.md,20.9,todo
04-legal-complications-and-a-jackal.md,22.2,todo
05-the-watercress-bed.md,21.5,todo
06-sidelights.md,25.8,todo
07-john-bellingham-s-will.md,31.6,todo
08-a-museum-idyll.md,21.1,todo
09-the-sphynx-of-lincoln-s-inn.md,25.8,todo
10-the-new-alliance.md,26.6,todo
11-the-evidence-reviewed.md,21.8,todo
12-a-voyage-of-discovery.md,29.3,todo
13-the-coroner-s-quest.md,20.0,todo
14-which-carries-the-reader-into-the-probate-court.md,45.0,todo
15-circumstantial-evidence.md,24.4,todo
16-o-artemidorus-farewell.md,22.7,todo
17-the-accusing-finger.md,27.5,todo
18-john-bellingham.md,41.2,todo
19-a-strange-symposium.md,46.3,todo
20-the-end-of-the-case.md,26.5,todo
