file,size_kb,status
book-i.md,0.0,todo
book-ii.md,0.0,todo
book-iii.md,0.0,todo
carmagnola-s-bridges.md,21.5,todo
carmagnola-s-duty.md,21.9,todo
count-spigno.md,11.2,todo
de-mortuis.md,12.5,todo
evasion.md,7.8,todo
facino-cane.md,20.0,todo
facino-s-return.md,12.7,todo
justice.md,27.5,todo
manoeuvres.md,23.6,todo
prince-of-valsassina.md,22.3,todo
sanctuary.md,15.7,todo
service.md,19.2,todo
severance.md,19.0,todo
stalemate.md,12.0,todo
the-arrest.md,19.7,todo
the-battle-of-novi.md,19.2,todo
the-battle-of-travo.md,13.4,todo
the-camisade.md,9.4,todo
the-champion.md,14.2,todo
the-commune-of-milan.md,17.9,todo
the-count-of-pavia.md,20.2,todo
the-countess-of-biandrate.md,17.7,todo
the-door-ajar.md,22.6,todo
the-fruitless-wooing.md,11.6,todo
the-grey-friar.md,21.0,todo
the-hostage.md,22.1,todo
the-inheritance.md,17.9,todo
the-knight-bellarion.md,22.7,todo
the-last-fight.md,7.8,todo
the-lord-bellarion.md,17.5,todo
the-marquis-theodore.md,10.2,todo
the-miracle-of-the-dogs.md,23.6,todo
the-muleteer.md,16.6,todo
the-occupation-of-casale.md,14.0,todo
the-pledge.md,18.0,todo
the-princess.md,19.3,todo
the-return.md,11.2,todo
the-siege-of-alessandria.md,23.0,todo
the-threshold.md,19.2,todo
the-trial.md,19.3,todo
the-vanquished.md,13.3,todo
the-victuallers.md,16.3,todo
the-warning.md,15.7,todo
the-winds-of-fate.md,18.9,todo
under-suspicion.md,13.0,todo
vercelli.md,14.2,todo
visconti-faith.md,8.4,todo
