file,size_kb,status
competitors.md,20.9,todo
homeward-bound.md,7.6,todo
in-the-sight-of-allah.md,18.0,todo
jasper-leigh.md,27.1,todo
lion-of-the-faith.md,14.6,todo
marzak-ben-asad.md,16.3,todo
moriturus.md,12.3,todo
mother-and-son.md,19.7,todo
note.md,5.3,todo
rosamund.md,20.6,todo
sakr-el-bahr.md,0.0,todo
sheik-mat.md,25.0,todo
sir-oliver-tressilian.md,0.0,todo
the-advocate.md,27.0,todo
the-buckler.md,19.9,todo
the-captive.md,17.5,todo
the-convert.md,13.5,todo
the-dupe.md,8.5,todo
the-forge.md,19.4,todo
the-heathen-creed.md,12.1,todo
the-huckster.md,18.3,todo
the-intervener.md,20.3,todo
the-judgement.md,9.0,todo
the-judges.md,17.4,todo
the-messenger.md,12.5,todo
the-mutineers.md,22.7,todo
the-pannier.md,15.0,todo
the-raid.md,29.5,todo
the-renegade.md,35.2,todo
the-sign.md,18.9,todo
the-slave-market.md,30.3,todo
the-spaniard.md,18.0,todo
the-subtlety-of-fenzileh.md,19.6,todo
the-surrender.md,22.1,todo
the-truth.md,34.4,todo
the-voyage.md,17.8,todo
trepanned.md,13.0,todo
