file,size_kb,status
i-2.md,5.2,todo
ii-2.md,9.6,todo
iii-2.md,7.0,todo
iv-2.md,9.3,todo
ix-2.md,8.9,todo
v-2.md,6.9,todo
vi-2.md,7.9,todo
vii-2.md,7.4,todo
viii-2.md,9.7,todo
x-2.md,7.6,todo
xi-2.md,10.6,todo
xii-2.md,8.9,todo
xiii-2.md,9.6,todo
xiv-2.md,9.3,todo
xix-2.md,8.1,todo
xv-2.md,8.7,todo
xvi-2.md,13.1,todo
xvii-2.md,12.2,todo
xviii-2.md,9.1,todo
xx-2.md,14.4,todo
xxi-2.md,3.1,todo
xxii-2.md,15.4,todo
xxiii-2.md,12.0,todo
xxiv-2.md,13.9,todo
xxv-2.md,12.2,todo
i.md,7.5,todo
ii.md,6.7,todo
iii.md,7.6,todo
iv.md,6.9,todo
ix.md,8.6,todo
v.md,11.4,todo
vi.md,11.3,todo
vii.md,4.6,todo
viii.md,9.5,todo
volume-i.md,0.0,todo
volume-ii.md,0.0,todo
x.md,8.3,todo
xi.md,10.5,todo
xii.md,10.5,todo
xiii.md,10.3,todo
xiv.md,11.1,todo
xix.md,15.4,todo
xv.md,9.2,todo
xvi.md,8.3,todo
xvii.md,14.3,todo
xviii.md,8.8,todo
xx.md,11.3,todo
xxi.md,10.4,todo
xxii.md,11.2,todo
xxiii.md,12.5,todo
xxiv.md,10.8,todo
xxix.md,9.1,todo
xxv.md,14.9,todo
xxvi.md,7.8,todo
xxvii.md,8.4,todo
xxviii.md,4.0,todo
xxx.md,4.6,todo
