file,size_kb,status
i-2.md,15.3,todo
ii-2.md,13.8,todo
iii-2.md,12.9,todo
iv-2.md,14.5,todo
ix-2.md,15.6,todo
v-2.md,14.1,todo
vi-2.md,20.4,todo
vii-2.md,17.2,todo
viii-2.md,16.5,todo
x-2.md,17.1,todo
xi-2.md,13.9,todo
xii-2.md,15.9,todo
xiii-2.md,14.9,todo
xiv-2.md,17.7,todo
xv-2.md,20.3,todo
i-3.md,14.5,todo
ii-3.md,15.3,todo
iii-3.md,13.7,todo
iv-3.md,17.4,todo
ix-3.md,15.2,todo
v-3.md,17.2,todo
vi-3.md,17.5,todo
vii-3.md,20.0,todo
viii-3.md,17.2,todo
x-3.md,14.3,todo
xi-3.md,24.0,todo
xii-3.md,22.8,todo
xiii-3.md,21.7,todo
xiv-3.md,18.9,todo
facts.md,0.0,todo
i.md,12.6,todo
ii.md,18.7,todo
iii.md,15.3,todo
iv.md,15.3,todo
ix.md,13.6,todo
persons.md,0.0,todo
results.md,0.0,todo
v.md,14.2,todo
vi.md,10.8,todo
vii.md,12.5,todo
viii.md,13.1,todo
x.md,15.1,todo
xi.md,13.7,todo
xii.md,14.5,todo
xiii.md,12.8,todo
xiv.md,14.5,todo
xv.md,17.0,todo
