file,size_kb,status
01-preface.md,1.9,todo
02-a-busher-s-letters-home.md,40.1,todo
03-the-busher-comes-back.md,43.7,todo
04-the-busher-s-honeymoon.md,44.8,todo
05-a-new-busher-breaks-in.md,50.4,todo
06-the-busher-s-kid.md,48.5,todo
07-the-busher-beats-it-hence.md,48.0,todo
08-the-busher-abroad.md,177.9,todo
09-the-busher-s-welcome-home.md,51.6,todo
10-call-for-mr-keefe.md,39.8,todo
11-jack-the-kaiser-killer.md,38.4,todo
12-corporal-punishment.md,40.2,todo
13-purls-before-swine.md,39.8,todo
14-and-many-a-stormy-wind-shall-blow.md,36.6,todo
15-private-valentine.md,39.3,todo
16-stragety-and-tragedy.md,41.2,todo
17-decorated.md,40.6,todo
18-sammy-boy.md,38.3,todo
19-simple-simon.md,37.7,todo
20-the-busher-reenlists.md,40.2,todo
21-the-battle-of-texas.md,36.4,todo
22-along-came-ruth.md,38.0,todo
23-the-courtship-of-t-dorgan.md,41.0,todo
24-the-busher-pulls-a-mays.md,39.2,todo
25-endnotes.md,0.3,todo
