file,size_kb,status
a-few-days-rest-in-billets.md,12.1,done
a-trench-raid.md,9.2,done
back-on-the-somme-again.md,13.1,done
bits-of-blighty.md,10.9,done
dedication.md,0.2,done
fascination-of-patrol-work.md,17.5,done
feeding-the-tommies.md,14.1,done
first-sight-of-the-tanks.md,12.2,done
following-the-tanks-into-battle.md,9.6,done
foreword.md,1.9,done
glossary-of-army-slang.md,5.1,done
going-in.md,11.2,done
hiking-to-vimy-ridge.md,11.3,done
i-become-a-bomber.md,20.8,done
joining-the-british-army.md,14.5,done
list-of-illustrations.md,0.5,done
on-the-go.md,18.5,done
prisoners.md,6.9,done
suggestions-for-sammy.md,8.5,done
the-last-time-over-the-top.md,9.8,done
