file,size_kb,status
00-epigraph.md,0.1,done
01-dedication.md,0.1,done
02-jericho.md,0.0,done
03-chapter-1.md,12.3,done
04-chapter-2.md,9.0,done
05-chapter-3.md,8.0,done
06-chapter-4.md,8.9,done
07-chapter-5.md,10.8,done
08-uplift.md,0.0,done
09-chapter-6.md,10.0,done
10-chapter-7.md,4.9,done
11-chapter-8.md,10.7,done
12-chapter-9.md,11.2,done
13-chapter-10.md,16.4,done
14-chapter-11.md,13.3,done
15-chapter-12.md,9.2,done
16-jive.md,0.0,done
17-chapter-13.md,8.2,done
18-chapter-14.md,6.7,done
19-chapter-15.md,17.6,done
20-chapter-16.md,9.3,done
21-chapter-17.md,9.4,done
22-walls.md,0.0,done
23-chapter-18.md,12.9,done
24-chapter-19.md,16.3,done
25-chapter-20.md,8.0,done
26-battle.md,0.0,done
27-chapter-21.md,8.2,done
28-chapter-22.md,9.6,done
29-chapter-23.md,14.8,done
30-jericho.md,0.0,done
31-chapter-24.md,4.3,done
32-chapter-25.md,4.5,done
33-chapter-26.md,3.9,done
34-expurgated-and-abridged.md,6.3,done
