file,size_kb,status
chapter-1.md,6.0,done
chapter-2.md,7.3,done
chapter-3.md,13.8,done
chapter-4.md,8.6,done
chapter-5.md,8.3,done
chapter-6.md,7.9,done
chapter-7.md,14.1,done
chapter-8.md,12.1,done
chapter-9.md,5.3,done
chapter-10.md,8.5,done
chapter-11.md,5.6,done
chapter-12.md,11.6,done
chapter-13.md,7.0,done
chapter-14.md,5.3,done
chapter-15.md,14.4,done
chapter-16.md,8.2,done
chapter-17.md,8.8,done
chapter-18.md,3.9,done
chapter-19.md,4.6,done
chapter-20.md,6.3,done
chapter-21.md,8.1,done
chapter-22.md,16.9,done
chapter-23.md,18.2,done
chapter-24.md,6.9,done
chapter-25.md,17.1,done
chapter-26.md,7.5,done
chapter-27.md,11.3,done
chapter-28.md,16.4,done
chapter-29.md,9.4,done
chapter-30.md,13.4,done
chapter-31.md,7.0,done
chapter-32.md,7.6,done
chapter-33.md,23.4,done
chapter-34.md,9.1,done
chapter-35.md,10.8,done
chapter-36.md,11.8,done
chapter-37.md,11.8,done
chapter-38.md,3.5,done
chapter-39.md,1.5,done
endnotes.md,0.1,done
