file,size_kb,status
canto-i-2.md,36.4,todo
canto-ii-2.md,35.5,todo
canto-iii-2.md,46.9,todo
canto-i-3.md,62.8,todo
canto-ii-3.md,66.4,todo
canto-iii-3.md,31.0,todo
an-heroical-epistle-of-hudibras-to-his-lady.md,13.9,todo
an-heroical-epistle-of-hudibras-to-sidrophel.md,5.2,todo
canto-i.md,36.0,todo
canto-ii.md,46.8,todo
canto-iii.md,53.6,todo
endnotes.md,62.9,todo
glossary.md,4.3,todo
part-i.md,0.0,todo
part-ii.md,0.0,todo
part-iii.md,0.0,todo
the-author-s-life.md,5.1,todo
the-lady-s-answer-to-the-knight.md,14.9,todo
to-the-reader.md,2.8,todo
