file,size_kb,status
a-council-is-held-at-the-mayor-s-in-the-course-of-which-george-turns-the-tables-on-the-professors.md,14.9,todo
a-visit-to-the-provincial-deformatory-at-fairmead.md,14.1,todo
after-dinner-dr-downie-and-the-professors-would-be-glad-to-know-what-is-to-be-done-about-sunchildism.md,12.6,todo
author-s-preface.md,3.5,todo
endnotes.md,0.0,todo
epigraph.md,0.3,todo
further-conversation-between-father-and-son-the-professors-hoard.md,11.8,todo
george-and-i-spend-a-few-hours-together-at-the-statues-and-then-part-i-reach-home-postscript.md,24.2,todo
george-escorts-my-father-to-the-statues-the-two-then-part.md,15.3,todo
george-fails-to-find-my-father-whereon-yram-cautions-the-professors.md,15.4,todo
george-takes-his-father-to-prison-and-there-obtains-some-useful-information.md,12.8,todo
i-meet-my-brother-george-at-the-statues-on-the-top-of-the-pass-into-erewhon.md,22.4,todo
interview-between-yram-and-her-son.md,14.1,todo
list-of-illustrations.md,0.3,todo
mainly-occupied-with-a-veracious-extract-from-a-sunch-stonian-journal.md,16.1,todo
mrs-humdrum-and-dr-downie-propose-a-compromise-which-after-an-amendment-by-george-is-carried-nem-con.md,9.1,todo
my-father-fearing-recognition-at-sunch-ston-betakes-himself-to-the-neighbouring-town-of-fairmead.md,16.6,todo
my-father-is-escorted-to-the-mayor-s-house-and-is-introduced-to-a-future-daughter-in-law.md,10.7,todo
my-father-makes-the-acquaintance-of-mr-balmy-and-walks-with-him-next-day-to-sunch-ston.md,22.8,todo
my-father-meets-a-son-of-whose-existence-he-was-ignorant-and-strikes-a-bargain-with-him.md,17.9,todo
my-father-overhears-more-of-hanky-and-panky-s-conversation.md,21.2,todo
my-father-reaches-home-and-dies-not-long-afterwards.md,9.4,todo
my-father-while-camping-is-accosted-by-professors-hanky-and-panky.md,18.9,todo
president-gurgoyle-s-pamphlet-on-the-physics-of-vicarious-existence.md,18.9,todo
professor-hanky-preaches-a-sermon-in-the-course-of-which-my-father-declares-himself-to-be-the-sunchild.md,22.5,todo
signs-of-the-new-order-of-things-catch-my-father-s-eye-on-every-side.md,15.2,todo
the-temple-is-dedicated-to-my-father-and-certain-extracts-are-read-from-his-supposed-sayings.md,19.3,todo
to-the-foot-of-the-pass-into-erewhon.md,8.9,todo
ups-and-downs-of-fortune-my-father-starts-for-erewhon.md,23.8,todo
yram-invites-dr-downie-and-mrs-humdrum-to-luncheon-a-passage-at-arms-between-her-and-hanky-is-amicably-arranged.md,6.3,todo
yram-now-mayoress-gives-a-dinner-party-in-the-course-of-which-she-is-disquieted-by-what-she-learns-from-professor-hanky-she-sends-for-her-son-george-and-questions-him.md,20.3,todo
yram-on-getting-rid-of-her-guests-goes-to-the-prison-to-see-my-father.md,12.5,todo
