file,size_kb,status
a-fantasy-of-fear.md,9.4,done
a-modern-mr-hyde.md,10.0,done
a-question-of-science.md,8.3,done
a-question-of-synapses.md,9.3,done
bizarre-explanation.md,8.7,done
descent-into-avernus.md,8.9,done
doctor-and-devil.md,9.4,done
gateway-to-evil.md,9.7,done
indecision.md,9.4,done
letter-from-lucifer.md,9.4,done
lunar-omen.md,10.2,done
man-or-monster.md,7.7,done
not-humanly-possible.md,10.2,done
possessed.md,9.5,done
psychiatrics-of-genius.md,9.1,done
pure-horror.md,9.3,done
rescue-from-abaddon.md,9.4,done
revelation.md,8.7,done
science-of-mind.md,9.6,done
scopolamine-for-satan.md,10.3,done
the-assignation.md,9.3,done
the-dark-other.md,9.7,done
the-demon-free.md,10.9,done
the-demon-lover.md,8.8,done
the-depths.md,9.5,done
the-red-eyes-return.md,8.4,done
the-transfiguration.md,9.8,done
two-in-hell.md,9.5,done
vanished.md,8.6,done
werewolf.md,7.4,done
witch-doctor.md,8.3,done
wreckage.md,8.5,done
