file,size_kb,status
colonel-roosevelt-s-report-to-the-secretary-of-war-of-september-10th.md,17.2,todo
appendix-d.md,15.5,todo
appendix-e.md,5.2,todo
appendix-f.md,6.9,todo
corrections.md,25.9,todo
dedication.md,0.3,todo
endnotes.md,7.2,todo
epigraph.md,0.8,todo
general-young-s-fight-at-las-guasimas.md,49.4,todo
in-the-trenches.md,48.4,todo
raising-the-regiment.md,46.5,todo
the-cavalry-at-santiago.md,55.4,todo
the-return-home.md,47.6,todo
the-round-robin-letter.md,7.1,todo
to-cuba.md,41.8,todo
