file,size_kb,status
01-dedication.md,0.6,todo
02-preface.md,1.2,todo
03-list-of-illustrations.md,8.1,todo
04-the-start.md,60.7,todo
05-up-the-paraguay.md,39.0,todo
06-a-jaguar-hunt-on-the-taquary.md,54.9,todo
07-the-headwaters-of-the-paraguay.md,60.8,todo
08-up-the-river-of-tapirs.md,57.3,todo
09-through-the-highland-wilderness-of-western-brazil.md,58.4,todo
10-with-a-mule-train-across-nhambiquara-land.md,65.5,todo
11-the-river-of-doubt.md,65.1,todo
12-down-an-unknown-river-into-the-equatorial-forest.md,64.3,todo
13-to-the-amazon-and-home-zoological-and-geographical-results-of-the-expedition.md,32.1,todo
14-the-work-of-the-field-zoologist-and-field-geographer-in-south-america.md,21.3,todo
15-the-outfit-for-travelling-in-the-south-american-wilderness.md,37.7,todo
16-my-letter-of-may-1-to-general-lauro-m-ller.md,3.3,todo
17-endnotes.md,4.7,todo
