file,size_kb,status
a-long-story.md,5.7,done
agrippina.md,12.0,done
amatory-lines.md,0.5,done
comic-lines.md,0.4,done
elegy-written-in-a-country-churchyard.md,6.0,done
endnotes.md,11.5,done
epitaph-on-a-child.md,0.3,done
epitaph-on-mrs-clarke.md,0.6,done
epitaph-on-mrs-mason.md,0.2,done
epitaph-on-sir-william-williams.md,0.6,done
gray-on-himself.md,0.4,done
hymn-to-adversity.md,2.1,done
hymn-to-ignorance.md,1.8,done
impromptu.md,1.2,done
impromptus.md,0.9,done
lines-spoken-by-the-ghost-of-john-dennis-at-the-devil-tavern.md,2.4,done
lines-written-at-burnham.md,0.2,done
lines.md,0.2,done
ode-for-music.md,4.0,done
ode-on-a-distant-prospect-of-eton-college.md,3.7,done
ode-on-the-death-of-a-favourite-cat.md,1.6,done
ode-on-the-pleasure-arising-from-vicissitude.md,2.1,done
ode-on-the-spring.md,1.8,done
satire-on-the-heads-of-houses.md,1.1,done
song.md,0.4,done
sonnet-on-the-death-of-richard-west.md,0.7,done
stanzas-to-mr-bentley.md,1.2,done
the-alliance-of-education-and-government.md,5.3,done
the-bard.md,6.6,done
the-candidate.md,1.9,done
the-descent-of-odin.md,3.6,done
the-fatal-sisters.md,4.0,done
the-progress-of-poesy.md,5.4,done
tophet.md,0.4,done
verses-from-shakespeare.md,1.2,done
