file,size_kb,status
the-hurricane1.md,1.6,done
in-memoriam-2.md,0.8,done
written-in-red2.md,1.1,done
a-novel-of-color.md,2.2,done
angiolillo.md,1.4,done
at-the-grave-in-waldheim.md,1.8,done
ave-et-vale.md,4.6,done
bastard-born.md,8.3,done
betrayed.md,9.8,done
endnotes.md,0.2,done
germinal.md,0.7,done
hymn.md,1.2,done
i-am.md,0.7,done
in-memoriam.md,1.9,done
john-p-altgeld.md,1.0,done
life-or-death.md,1.0,done
light-upon-waldheim.md,1.1,done
love-s-compensation.md,1.6,done
marsh-bloom.md,0.9,done
mary-wollstonecraft.md,1.2,done
night-on-the-graves.md,0.9,done
optimism.md,0.9,done
out-of-the-darkness.md,3.1,done
santa-agueda.md,0.8,done
the-burial-of-my-past-self.md,1.5,done
the-christian-s-faith.md,8.1,done
the-cry-of-the-unfit.md,1.7,done
the-dirge-of-the-sea.md,3.7,done
the-feast-of-vultures.md,3.1,done
the-freethinker-s-plea.md,7.6,done
the-gods-and-the-people.md,6.8,done
the-new-hope.md,2.6,done
the-road-builders.md,1.3,done
the-suicide-s-defense.md,3.7,done
the-toast-of-despair.md,2.1,done
the-wandering-jew.md,2.0,done
to-my-mother.md,0.9,done
ut-sementem-feceris-ita-metes.md,0.8,done
you-and-i.md,1.7,done
