file,size_kb,status
dedication.md,0.2,done
note.md,0.7,done
dreams.md,11.2,done
the-school.md,6.5,done
miss-mary-taylor.md,10.3,done
town.md,16.4,done
zora.md,14.5,done
cotton.md,18.5,done
the-place-of-dreams.md,21.2,done
mr-harry-cresswell.md,13.9,done
the-planting.md,16.2,done
mr-taylor-calls.md,26.6,done
the-flowering-of-the-fleece.md,15.8,done
the-promise.md,24.2,done
mrs-grey-gives-a-dinner.md,8.7,done
love.md,9.4,done
revelation.md,21.2,done
the-great-refusal.md,14.2,done
the-rape-of-the-fleece.md,12.9,done
the-cotton-corner.md,15.3,done
the-dying-of-elspeth.md,18.6,done
the-weaving-of-the-silver-fleece.md,14.6,done
the-marriage-morning.md,13.2,done
miss-caroline-wynn.md,18.2,done
the-training-of-zora.md,12.9,done
the-education-of-alwyn.md,19.5,done
the-campaign.md,23.3,done
congressman-cresswell.md,16.9,done
the-vision-of-zora.md,15.0,done
the-annunciation.md,13.5,done
a-master-of-fate.md,19.7,done
the-return-of-zora.md,16.0,done
a-parting-of-ways.md,27.3,done
zora-s-way.md,12.2,done
the-buying-of-the-swamp.md,20.4,done
the-return-of-alwyn.md,20.2,done
the-cotton-mill.md,19.2,done
the-land.md,22.9,done
the-mob.md,11.8,done
atonement.md,12.6,done
