file,size_kb,status
00-dedication.md,0.1,done
00-epigraph.md,0.1,done
part-1.md,0.0,done
chapter-1-1.md,10.6,done
chapter-1-2.md,4.4,done
chapter-1-3.md,2.2,done
chapter-1-4.md,4.6,done
chapter-1-5.md,3.3,done
chapter-1-6.md,0.3,done
part-2.md,0.0,done
chapter-2-1.md,12.0,done
chapter-2-2.md,3.7,done
chapter-2-3.md,5.4,done
chapter-2-4.md,3.5,done
chapter-2-5.md,3.7,done
chapter-2-6.md,1.4,done
chapter-2-7.md,0.7,done
part-3.md,0.0,done
chapter-3-1.md,4.7,done
chapter-3-2.md,2.3,done
chapter-3-3.md,4.3,done
chapter-3-4.md,2.6,done
chapter-3-5.md,2.7,done
chapter-3-6.md,4.5,done
chapter-3-7.md,6.5,done
part-4.md,0.0,done
chapter-4-1.md,7.0,done
chapter-4-2.md,9.0,done
chapter-4-3.md,4.6,done
chapter-4-4.md,7.4,done
chapter-4-5.md,3.2,done
chapter-4-6.md,11.7,done
part-5.md,0.0,done
chapter-5-1.md,3.6,done
chapter-5-2.md,13.0,done
chapter-5-3.md,8.7,done
chapter-5-4.md,3.5,done
chapter-5-5.md,9.1,done
part-6.md,0.0,done
chapter-6-1.md,9.3,done
chapter-6-2.md,5.3,done
chapter-6-3.md,10.4,done
chapter-6-4.md,9.9,done
chapter-6-5.md,8.2,done
chapter-6-6.md,8.5,done
chapter-6-7.md,2.8,done
part-7.md,0.0,done
chapter-7-1.md,1.3,done
chapter-7-2.md,3.5,done
chapter-7-3.md,9.4,done
chapter-7-4.md,3.4,done
chapter-7-5.md,12.2,done
chapter-7-6.md,8.9,done
