file,size_kb,status
chapter-1.md,17.5,todo
chapter-2.md,42.2,todo
chapter-3.md,9.0,todo
chapter-4.md,24.6,todo
chapter-5.md,29.2,todo
chapter-6.md,25.1,todo
chapter-7.md,21.8,todo
chapter-8.md,13.7,todo
chapter-9.md,16.2,todo
chapter-10.md,23.6,todo
chapter-11.md,16.6,todo
chapter-12.md,20.5,todo
chapter-13.md,24.3,todo
chapter-14.md,26.9,todo
chapter-15.md,22.7,todo
chapter-16.md,20.8,todo
chapter-17.md,25.3,todo
chapter-18.md,23.5,todo
chapter-19.md,27.0,todo
chapter-20.md,21.6,todo
chapter-21.md,21.3,todo
chapter-22.md,17.3,todo
chapter-23.md,22.3,todo
chapter-24.md,9.0,todo
