file,size_kb,status
chapter-1.md,30.2,done
chapter-2.md,14.6,done
chapter-3.md,30.5,done
chapter-4.md,17.1,done
chapter-5.md,13.2,done
chapter-6.md,19.4,done
chapter-7.md,16.0,done
chapter-8.md,14.5,done
chapter-9.md,15.2,done
chapter-10.md,20.0,done
chapter-11.md,28.0,done
chapter-12.md,15.5,done
chapter-13.md,17.6,done
chapter-14.md,21.6,done
chapter-15.md,20.2,done
chapter-16.md,15.5,done
chapter-17.md,12.0,done
chapter-18.md,8.2,done
chapter-19.md,22.0,done
chapter-20.md,20.5,done
chapter-21.md,10.4,done
chapter-22.md,19.3,done
chapter-23.md,5.3,done
