file,size_kb,status
chapter-1-1.md,2.5,todo
chapter-1-2.md,5.2,todo
chapter-1-3.md,10.4,todo
chapter-1-4.md,13.9,todo
chapter-1-5.md,11.5,todo
chapter-1-6.md,4.6,todo
chapter-1-7.md,25.7,todo
chapter-1-8.md,13.7,todo
chapter-1-9.md,22.8,todo
chapter-1-10.md,21.0,todo
chapter-1-11.md,25.0,todo
chapter-1-12.md,26.7,todo
chapter-2-1.md,13.7,todo
chapter-2-2.md,17.9,todo
chapter-2-3.md,23.7,todo
chapter-2-4.md,15.1,todo
chapter-2-5.md,16.1,todo
chapter-2-6.md,14.0,todo
chapter-2-7.md,22.8,todo
chapter-3-1.md,17.5,todo
chapter-3-2.md,26.4,todo
chapter-3-3.md,31.5,todo
chapter-3-4.md,28.6,todo
chapter-3-5.md,58.7,todo
chapter-3-6.md,39.0,todo
chapter-3-7.md,45.0,todo
chapter-3-8.md,17.8,todo
dedication.md,8.8,todo
epilogue.md,26.1,todo
journal.md,34.7,todo
