file,size_kb,status
chapter-1.md,9.8,done
part-1.md,0.0,done
chapter-2.md,12.8,done
part-2.md,0.0,done
chapter-3.md,13.8,done
part-3.md,0.0,done
chapter-4.md,15.9,done
part-4.md,0.0,done
chapter-5.md,15.9,done
chapter-6.md,14.0,done
chapter-7.md,5.4,done
chapter-8.md,19.4,done
chapter-9.md,5.1,done
chapter-10.md,10.1,done
chapter-11.md,11.1,done
chapter-12.md,16.6,done
chapter-13.md,12.6,done
chapter-14.md,7.8,done
chapter-15.md,8.3,done
chapter-16.md,4.9,done
chapter-17.md,15.6,done
chapter-18.md,8.0,done
chapter-19.md,15.9,done
chapter-20.md,16.6,done
chapter-21.md,13.8,done
chapter-22.md,13.8,done
chapter-23.md,13.6,done
chapter-24.md,13.2,done
chapter-25.md,13.4,done
chapter-26.md,23.7,done
chapter-27.md,7.4,done
chapter-28.md,10.4,done
dedication.md,0.1,done
epilogue.md,4.6,done
