file,size_kb,status
chapter-1-1.md,26.5,done
chapter-1-2.md,14.8,done
chapter-1-3.md,14.4,done
chapter-1-4.md,11.1,done
chapter-1-5.md,9.3,done
chapter-1-6.md,8.2,done
chapter-1-7.md,10.4,done
chapter-1-8.md,8.6,done
chapter-1-9.md,15.9,done
chapter-1-10.md,19.4,done
chapter-1-11.md,6.9,done
chapter-1-12.md,13.1,done
chapter-1-13.md,10.3,done
chapter-1-14.md,6.3,done
chapter-1-15.md,9.1,done
chapter-1-16.md,7.3,done
chapter-1-17.md,7.7,done
chapter-2-1.md,12.3,done
chapter-2-2.md,9.0,done
chapter-2-3.md,14.3,done
chapter-2-4.md,11.4,done
chapter-2-5.md,11.5,done
chapter-2-6.md,31.1,done
chapter-2-7.md,6.6,done
chapter-3-1.md,5.7,done
chapter-3-2.md,7.9,done
chapter-3-3.md,3.4,done
chapter-3-4.md,7.3,done
chapter-3-5.md,7.8,done
dedication.md,0.0,done
epigraph.md,0.1,done
the-family.md,0.0,done
the-professor.md,0.0,done
tom-outland-s-story.md,0.0,done
