file,size_kb,status
i-2.md,17.5,todo
ii-2.md,11.1,todo
iii-2.md,14.2,todo
iv-2.md,9.1,todo
ix-2.md,9.8,todo
v-2.md,6.8,todo
vi-2.md,15.1,todo
vii-2.md,9.8,todo
viii-2.md,23.5,todo
x-2.md,15.5,todo
xi-2.md,22.8,todo
xii-2.md,10.3,todo
xiii-2.md,14.4,todo
xiv-2.md,13.8,todo
xv-2.md,9.3,todo
i-3.md,13.9,todo
ii-3.md,12.4,todo
iii-3.md,14.8,todo
iv-3.md,12.3,todo
ix-3.md,25.3,todo
v-3.md,18.4,todo
vi-3.md,5.6,todo
vii-3.md,8.2,todo
viii-3.md,15.1,todo
x-3.md,11.1,todo
xi-3.md,6.1,todo
xii-3.md,6.4,todo
i-4.md,27.3,todo
ii-4.md,18.7,todo
iii-4.md,12.9,todo
iv-4.md,18.6,todo
ix-4.md,28.3,todo
v-4.md,15.3,todo
vi-4.md,31.3,todo
vii-4.md,14.5,todo
viii-4.md,19.0,todo
i-5.md,24.0,todo
ii-5.md,27.2,todo
iii-5.md,12.5,todo
iv-5.md,11.2,todo
ix-5.md,6.7,todo
v-5.md,7.3,todo
vi-5.md,8.0,todo
vii-5.md,10.1,todo
viii-5.md,11.2,todo
bibliographical.md,7.1,todo
i.md,17.0,todo
ii.md,8.0,todo
iii.md,6.1,todo
iv.md,13.1,todo
ix.md,8.7,todo
part-fifth.md,0.0,todo
part-first.md,0.0,todo
part-fourth.md,0.0,todo
part-second.md,0.0,todo
part-third.md,0.0,todo
v.md,9.3,todo
vi.md,7.3,todo
vii.md,22.1,todo
viii.md,20.4,todo
x.md,17.4,todo
xi.md,27.4,todo
xii.md,22.2,todo
xiii.md,10.4,todo
xiv.md,11.7,todo
xv.md,8.3,todo
xvi.md,18.0,todo
xvii.md,7.7,todo
xviii.md,8.0,todo
