file,size_kb,status
foreword.md,0.2,done
introduction.md,2.7,done
chapter-1.md,20.6,done
chapter-2.md,10.0,done
chapter-3.md,11.1,done
chapter-4.md,5.5,done
chapter-5.md,11.9,done
chapter-6.md,17.7,done
chapter-7.md,10.2,done
chapter-8.md,8.6,done
chapter-9.md,6.8,done
chapter-10.md,5.7,done
chapter-11.md,12.1,done
chapter-12.md,19.3,done
chapter-13.md,8.0,done
chapter-14.md,6.8,done
chapter-15.md,18.8,done
chapter-16.md,9.3,done
chapter-17.md,10.3,done
chapter-18.md,12.2,done
chapter-19.md,7.7,done
chapter-20.md,5.9,done
chapter-21.md,8.4,done
chapter-22.md,8.5,done
chapter-23.md,1.6,done
chapter-24.md,6.6,done
chapter-25.md,15.6,done
chapter-26.md,3.8,done
chapter-27.md,8.0,done
grief.md,1.1,done
