file,size_kb,status
chapter-1.md,9.7,todo
chapter-2.md,10.0,todo
chapter-3.md,6.9,todo
chapter-4.md,5.3,todo
chapter-5.md,4.9,todo
chapter-6.md,7.5,todo
chapter-7.md,7.8,todo
chapter-8.md,3.8,todo
chapter-9.md,11.9,todo
chapter-10.md,9.6,todo
chapter-11.md,10.6,todo
chapter-12.md,5.8,todo
chapter-13.md,6.2,todo
chapter-14.md,7.1,todo
chapter-15.md,6.5,todo
chapter-16.md,11.2,todo
chapter-17.md,4.9,todo
chapter-18.md,3.3,todo
chapter-19.md,7.2,todo
chapter-20.md,5.5,todo
chapter-21.md,5.8,todo
chapter-22.md,5.9,todo
chapter-23.md,8.4,todo
chapter-24.md,10.5,todo
chapter-25.md,11.2,todo
chapter-26.md,7.5,todo
chapter-27.md,9.1,todo
chapter-28.md,3.5,todo
chapter-29.md,5.7,todo
chapter-30.md,18.1,todo
chapter-31.md,1.7,todo
chapter-32.md,9.7,todo
chapter-33.md,3.3,todo
chapter-34.md,9.2,todo
chapter-35.md,7.9,todo
chapter-36.md,4.3,todo
chapter-37.md,6.0,todo
chapter-38.md,1.8,todo
chapter-39.md,12.0,todo
chapter-40.md,9.7,todo
chapter-41.md,5.1,todo
chapter-42.md,5.1,todo
chapter-43.md,6.6,todo
chapter-44.md,7.4,todo
chapter-45.md,9.7,todo
chapter-46.md,4.5,todo
chapter-47.md,7.5,todo
chapter-48.md,7.7,todo
chapter-49.md,4.1,todo
chapter-50.md,4.9,todo
chapter-51.md,9.0,todo
chapter-52.md,9.6,todo
chapter-53.md,4.0,todo
chapter-54.md,10.9,todo
chapter-55.md,14.9,todo
chapter-56.md,9.7,todo
chapter-57.md,11.9,todo
chapter-58.md,5.3,todo
chapter-59.md,6.3,todo
chapter-60.md,4.0,todo
chapter-61.md,6.2,todo
chapter-62.md,8.1,todo
chapter-63.md,7.4,todo
chapter-64.md,11.1,todo
chapter-65.md,2.0,todo
chapter-66.md,3.2,todo
chapter-67.md,3.0,todo
chapter-68.md,2.8,todo
