file,size_kb,status
00-dedication.md,0.2,todo
01-preface.md,1.5,todo
02-the-old-order-changeth.md,30.2,todo
03-what-is-progress.md,22.8,todo
04-freemen-need-no-guardians.md,24.7,todo
05-life-comes-from-the-soil.md,10.7,todo
06-the-parliament-of-the-people.md,21.0,todo
07-let-there-be-light.md,25.1,todo
08-the-tariff-protection-or-special-privilege.md,27.7,todo
09-monopoly-or-opportunity.md,30.1,todo
10-benevolence-or-justice.md,31.8,todo
11-the-way-to-resume-is-to-resume.md,34.8,todo
12-the-emancipation-of-business.md,20.5,todo
13-the-liberation-of-a-people-s-vital-energies.md,18.6,todo
