file,size_kb,status
a-dream-of-her-grandfather.md,3.6,done
a-warrior-s-daughter.md,16.6,done
acknowledgments.md,0.5,done
america-s-indian-problem.md,3.2,done
an-indian-teacher-among-indians.md,17.7,done
endnotes.md,0.0,done
epigraph.md,0.1,done
impressions-of-an-indian-childhood.md,35.9,done
the-school-days-of-an-indian-girl.md,31.9,done
the-softhearted-sioux.md,15.2,done
the-trial-path.md,9.5,done
the-widespread-enigma-concerning-blue-star-woman.md,25.0,done
why-i-am-a-pagan.md,7.6,done
