file,size_kb,status
00-preface.md,2.0,done
01-iktomi-and-the-ducks.md,9.7,done
02-iktomi-s-blanket.md,4.8,done
03-iktomi-and-the-muskrat.md,5.3,done
04-iktomi-and-the-coyote.md,5.1,done
05-iktomi-and-the-fawn.md,8.6,done
06-the-badger-and-the-bear.md,11.6,done
07-the-tree-bound.md,10.6,done
08-shooting-of-the-red-eagle.md,5.4,done
09-iktomi-and-the-turtle.md,5.0,done
10-dance-in-a-buffalo-skull.md,2.9,done
11-the-toad-and-the-boy.md,6.9,done
12-iya-the-camp-eater.md,8.4,done
13-man-tin-the-rabbit.md,8.2,done
14-the-warlike-seven.md,4.8,done
